Cruise,Station,Latitude,Longitude,Year,Month,Day,Hour,Depth,Temperature,Salinity
AA,4,34.907593,29.910818,2019,1,1,12:00,90,15.6,39.05
AA,4,34.907593,29.910818,2019,1,1,12:00,100,15.6,39.05
AA,4,34.907593,29.910818,2019,1,1,12:00,110,15.5,39.05
AA,4,34.907593,29.910818,2019,1,1,12:00,120,15.4,39.05
AA,4,34.907593,29.910818,2019,1,1,12:00,130,15.4,39.05
AA,4,34.907593,29.910818,2019,1,1,12:00,140,15.3,39.05
AA,4,34.907593,29.910818,2019,1,1,12:00,150,15.3,39.05
AA,4,34.907593,29.910818,2019,1,1,12:00,160,15.2,39.04
AA,4,34.907593,29.910818,2019,1,1,12:00,170,15.1,39.04
AA,4,34.907593,29.910818,2019,1,1,12:00,180,15.1,39.04
AA,4,34.907593,29.910818,2019,1,1,12:00,190,15,39.03
AA,4,34.907593,29.910818,2019,1,1,12:00,200,15,39.03
BB,4,34.907593,29.910818,2019,4,1,12:00,0,19.4,39.02
BB,4,34.907593,29.910818,2019,4,1,12:00,5,19.4,39.02
BB,4,34.907593,29.910818,2019,4,1,12:00,10,19.2,39.03
BB,4,34.907593,29.910818,2019,4,1,12:00,15,18.8,39.02
BB,4,34.907593,29.910818,2019,4,1,12:00,20,18.6,39.02
BB,4,34.907593,29.910818,2019,4,1,12:00,25,18.2,39.01
BB,4,34.907593,29.910818,2019,4,1,12:00,30,17.8,39.01
BB,4,34.907593,29.910818,2019,4,1,12:00,35,17.4,39.01
BB,4,34.907593,29.910818,2019,4,1,12:00,40,17.1,39
BB,4,34.907593,29.910818,2019,4,1,12:00,45,16.9,39
BB,4,34.907593,29.910818,2019,4,1,12:00,50,16.8,39
BB,4,34.907593,29.910818,2019,4,1,12:00,55,16.6,39
BB,4,34.907593,29.910818,2019,4,1,12:00,60,16.4,39
BB,4,34.907593,29.910818,2019,4,1,12:00,65,16.3,39
BB,4,34.907593,29.910818,2019,4,1,12:00,70,16.2,39.01
BB,4,34.907593,29.910818,2019,4,1,12:00,75,16.2,39.01
BB,4,34.907593,29.910818,2019,4,1,12:00,80,16.1,39.02
BB,4,34.907593,29.910818,2019,4,1,12:00,90,15.9,39.02
BB,4,34.907593,29.910818,2019,4,1,12:00,100,15.8,39.01
BB,4,34.907593,29.910818,2019,4,1,12:00,110,15.7,39.01
BB,4,34.907593,29.910818,2019,4,1,12:00,120,15.6,39.01
BB,4,34.907593,29.910818,2019,4,1,12:00,130,15.6,39.01
BB,4,34.907593,29.910818,2019,4,1,12:00,140,15.5,39.01
BB,4,34.907593,29.910818,2019,4,1,12:00,150,15.5,39.01
BB,4,34.907593,29.910818,2019,4,1,12:00,160,15.4,39
BB,4,34.907593,29.910818,2019,4,1,12:00,170,15.3,39
BB,4,34.907593,29.910818,2019,4,1,12:00,180,15.2,39
BB,4,34.907593,29.910818,2019,4,1,12:00,190,15.2,39
BB,4,34.907593,29.910818,2019,4,1,12:00,200,15.1,39
CC,4,34.907593,29.910818,2019,7,1,12:00,0,25.2,39.29
CC,4,34.907593,29.910818,2019,7,1,12:00,5,25.1,39.29
CC,4,34.907593,29.910818,2019,7,1,12:00,10,24.9,39.28
CC,4,34.907593,29.910818,2019,7,1,12:00,15,24.5,39.24
CC,4,34.907593,29.910818,2019,7,1,12:00,20,23.1,39.18
CC,4,34.907593,29.910818,2019,7,1,12:00,25,21.7,39.13
CC,4,34.907593,29.910818,2019,7,1,12:00,30,20.6,39.04
CC,4,34.907593,29.910818,2019,7,1,12:00,35,19.4,39.03
CC,4,34.907593,29.910818,2019,7,1,12:00,40,18.7,39.01
CC,4,34.907593,29.910818,2019,7,1,12:00,45,18.1,38.99
CC,4,34.907593,29.910818,2019,7,1,12:00,50,17.7,38.97
CC,4,34.907593,29.910818,2019,7,1,12:00,55,17.1,38.97
CC,4,34.907593,29.910818,2019,7,1,12:00,60,17,38.97
CC,4,34.907593,29.910818,2019,7,1,12:00,65,16.9,38.98
CC,4,34.907593,29.910818,2019,7,1,12:00,70,16.6,38.98
CC,4,34.907593,29.910818,2019,7,1,12:00,75,16.3,38.98
CC,4,34.907593,29.910818,2019,7,1,12:00,80,16.2,38.98
CC,4,34.907593,29.910818,2019,7,1,12:00,90,16.1,38.98
CC,4,34.907593,29.910818,2019,7,1,12:00,100,15.9,39
CC,4,34.907593,29.910818,2019,7,1,12:00,110,15.8,39
CC,4,34.907593,29.910818,2019,7,1,12:00,120,15.7,39
CC,4,34.907593,29.910818,2019,7,1,12:00,130,15.5,39
CC,4,34.907593,29.910818,2019,7,1,12:00,140,15.5,39
CC,4,34.907593,29.910818,2019,7,1,12:00,150,15.4,39
CC,4,34.907593,29.910818,2019,7,1,12:00,160,15.3,39
CC,4,34.907593,29.910818,2019,7,1,12:00,170,15.3,38.99
CC,4,34.907593,29.910818,2019,7,1,12:00,180,15.2,38.99
CC,4,34.907593,29.910818,2019,7,1,12:00,190,15.2,38.99
CC,4,34.907593,29.910818,2019,7,1,12:00,200,15.1,38.98
DD,4,34.907593,29.910818,2019,10,1,12:00,0,21.5,39.24
DD,4,34.907593,29.910818,2019,10,1,12:00,5,21.5,39.24
DD,4,34.907593,29.910818,2019,10,1,12:00,10,21.5,39.24
DD,4,34.907593,29.910818,2019,10,1,12:00,15,21.2,39.24
DD,4,34.907593,29.910818,2019,10,1,12:00,20,21.2,39.24
DD,4,34.907593,29.910818,2019,10,1,12:00,25,20.7,39.21
DD,4,34.907593,29.910818,2019,10,1,12:00,30,20.3,39.17
DD,4,34.907593,29.910818,2019,10,1,12:00,35,19.8,39.13
DD,4,34.907593,29.910818,2019,10,1,12:00,40,19.2,39.08
DD,4,34.907593,29.910818,2019,10,1,12:00,45,18.5,39.03
DD,4,34.907593,29.910818,2019,10,1,12:00,50,18.2,39
